t,q1,q2,dq1,dq2,tau1,tau2,foot_x,foot_z,dfoot_x,dfoot_z,Fz,touch,action0,action1,action2,M,B,K
0.024,0.5235998159646988,2.094394397735596,9.095680602513311e-05,-6.094983259572473e-05,-0.00044205232,0.00010672383,-1.7261999119000393e-07,0.25000014901161194,-1.5120490388653707e-05,1.319601210525434e-05,0.0018749195078271441,0.0,-0.12657952,-0.059193917,0.7463472,4.930392146110535,235.201520845294,1746.347188949585
0.025,0.5235999095439912,2.094394397735596,9.445668383705196e-05,-6.329327734420075e-05,-0.00046432228,0.00011103634,-1.8802681722718262e-07,0.2500001788139343,-1.5702532891737064e-05,1.3703381682717009e-05,0.001960834015335422,0.0,-0.12658034,-0.059194468,0.74634665,4.930388458073139,235.20138300955296,1746.346652507782
0.026000000000000002,0.5236000031232834,2.0943942105770113,9.789445484784664e-05,-6.561025584232994e-05,-0.00048657676,0.00011535094,-2.0400958078425901e-07,0.2500001788139343,-1.6272354059765348e-05,1.4205021443558508e-05,0.002046696681645699,0.0,-0.12658115,-0.059194982,0.74634606,4.930384837090969,235.20125448703766,1746.3460564613342
0.027,0.5236000967025757,2.0943942105770113,0.00010127125424332916,-6.790161769458792e-05,-0.00050881365,0.000119667646,-2.2055616000216105e-07,0.2500002086162567,-1.6830138065415667e-05,1.4701113286719192e-05,0.002132504050678108,0.0,-0.12658194,-0.05919548,0.74634546,4.930381283164024,235.20112968981266,1746.3454604148865
0.028,0.5236002370715142,2.0943940234184266,0.00010458831002324587,-7.016819108685013e-05,-0.0005310316,0.0001239866,-2.3765458934121853e-07,0.2500002086162567,-1.7376083860654035e-05,1.5191839111139416e-05,0.0022182537577464245,0.0,-0.12658276,-0.05919601,0.7463448,4.930377595126629,235.20099744200706,1746.344804763794
0.029,0.5236003306508065,2.0943940234184266,0.0001078468787454767,-7.241081134452542e-05,-0.0005532294,0.00012830779,-2.5529317326800083e-07,0.2500002384185791,-1.7910400629261858e-05,1.5677377405154402e-05,0.0023039445295580663,0.0,-0.12658358,-0.05919651,0.74634427,4.930373907089233,235.20087264478207,1746.344268321991
0.03,0.5236004242300988,2.0943940234184266,0.0001110482383865019,-7.463029237442242e-05,-0.00057540665,0.00013263129,-2.734603583576245e-07,0.2500002384185791,-1.8433308923704317e-05,1.6157906657099375e-05,0.0023895760023151524,0.0,-0.12658438,-0.059197046,0.7463437,4.930370286107063,235.20073853433132,1746.3436722755432
0.031,0.5236005645990371,2.094393836259842,0.00011419365978326823,-7.68274195252161e-05,-0.00059756293,0.00013695711,-2.9214484698059096e-07,0.2500002682209015,-1.8945027022709837e-05,1.6633596260362538e-05,0.002475148176017683,0.0,-0.12658522,-0.05919759,0.746343,4.930366531014442,235.20060256123543,1746.3430166244507
0.032,0.5236006581783295,2.094393836259842,0.00011728442805178928,-7.900296386651461e-05,-0.00061969814,0.00014128524,-3.1133558309193177e-07,0.2500002682209015,-1.944577888934873e-05,1.7104613334595342e-05,0.0025606614144635387,0.0,-0.126586,-0.059198104,0.7463425,4.930362977087498,235.20047403872013,1746.3424801826477
0.033,0.5236007985472679,2.0943936491012574,0.00012032181402901187,-8.11576679097925e-05,-0.00064181234,0.0001456157,-3.310217095986445e-07,0.2500002980232239,-1.993579189729644e-05,1.75711170413706e-05,0.002646116445248481,0.0,-0.1265868,-0.059198625,0.7463419,4.930359423160553,235.20034365355968,1746.3418841362
