t,q1,q2,dq1,dq2,tau1,tau2,foot_x,foot_z,dfoot_x,dfoot_z,Fz,touch,M,B,K
0.028000000000000018,0.5236001170990122,2.0943941843723306,0.00010116132151707783,-6.760511682194921e-05,-0.0005313043250857717,0.0001241334586243288,-2.206227456835741e-07,0.2500001987572238,-1.6839717081517913e-05,1.4636918408591434e-05,0.0021335467905944875,0.0,5.0,350.0,2000.0
0.02900000000000002,0.523600219811575,2.0943941158150197,0.0001044616384492952,-6.983054501712852e-05,-0.0005535311709973731,0.00012846864437658038,-2.3773125018555774e-07,0.25000021360029734,-1.738662071709432e-05,1.5118735647052606e-05,0.00221940036321786,0.0,5.0,350.0,2000.0
0.03000000000000002,0.5236003257943455,2.0943940450461507,0.00010770179500223046,-7.202838527902125e-05,-0.0005757387867186911,0.00013280678438083813,-2.553808648719791e-07,0.250000228922185,-1.7921932931795744e-05,1.5594579793711644e-05,0.002305199359117948,0.0,5.0,350.0,2000.0
0.03100000000000002,0.5236004349877665,2.0943939720929636,0.00011088299650658465,-7.419932893848368e-05,-0.000597926803249415,0.00013714787554533004,-2.7356010579016043e-07,0.250000244716989,-1.844586864391071e-05,1.606460052521296e-05,0.0023909431243874205,0.0,5.0,350.0,2000.0
0.03200000000000002,0.5236005473334916,2.094393896982013,0.00011400645848046527,-7.634405685368032e-05,-0.0006200950562022681,0.00014149192462260536,-2.9225770542540275e-07,0.25000026097896033,-1.8958646627449177e-05,1.65289452509781e-05,0.0024766314311785386,0.0,5.0,350.0,2000.0
0.03300000000000002,0.5236006627743894,2.0943938197391816,0.00011707339615335736,-7.846323034875031e-05,-0.0006422435507264887,0.00014583891519619316,-3.1146261686432197e-07,0.25000027770249467,-1.94604880258142e-05,1.698775715135691e-05,0.0025622645482615437,0.0,5.0,350.0,2000.0
0.03400000000000002,0.5236007812545401,2.094393740389701,0.00012008501687027835,-8.055749278661868e-05,-0.0006643724092994304,0.00015018883406625773,-3.3116401415567154e-07,0.25000029488212927,-1.995161425625176e-05,1.7441175518139957e-05,0.0026478429967005824,0.0,5.0,350.0,2000.0
0.035000000000000024,0.5236009027192242,2.094393658958169,0.00012304251426921079,-8.262746542958035e-05,-0.0006864818482575835,0.00015454165593665851,-3.5135129228258677e-07,0.25000031251253835,-2.0432246071646742e-05,1.7889334858337813e-05,0.002733367561711012,0.0,5.0,350.0,2000.0
0.036000000000000025,0.5236010271149069,2.0943935754685747,0.0001259470641558842,-8.467374846466905e-05,-0.0007085721484213293,0.00015889735562562516,-3.720140663854288e-07,0.2500003305885281,-2.0902602401058023e-05,1.8332365116169913e-05,0.0028188391632628295,0.0,5.0,350.0,2000.0
0.037000000000000026,0.5236011543892187,2.0943934899443164,0.00012879982145981472,-8.669691954687644e-05,-0.0007306436392905886,0.00016325590224052113,-3.931421690972492e-07,0.25000034910503244,-2.136289977083562e-05,1.8770391357652748e-05,0.002904258850064473,0.0,5.0,350.0,2000.0
